MER_T12_06,,,,,
MSN,YYYYMM,Value,Column_Order,Description,Unit
NWEIEUS,200003,0.859,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200004,0.831,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200005,0.859,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200006,0.831,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200007,0.859,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200008,0.859,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200009,0.831,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200010,0.859,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200011,0.831,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200012,0.859,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200101,0.925,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200102,0.836,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200103,0.925,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200104,0.896,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200105,0.925,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200106,0.896,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200107,0.925,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200108,0.925,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200109,0.896,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200110,0.925,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200111,0.896,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200112,0.925,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200201,1.083,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200202,0.978,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200203,1.083,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200204,1.048,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200205,1.083,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
NWEIEUS,200206,1.048,8,Non-Biomass Waste Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
