MSN,YYYYMM,Value,Column_Order,Description,Unit
PAEIEUS,200007,8.519,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200008,10.807,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200009,9.246,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200010,6.979,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200011,6.196,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200012,13.508,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200101,14.96,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200102,8.438,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200103,9.516,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200104,8.946,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200105,8.438,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200106,9.813,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200107,8.964,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200108,11.769,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200109,5.987,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200110,5.194,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200111,4.777,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200112,5.218,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200201,5.543,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200202,4.763,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200203,6.867,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200204,6.47,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200205,6.764,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200206,6.789,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200207,8.315,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200208,8.363,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200209,6.744,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200210,6.644,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200211,5.153,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200212,6.689,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200301,10.057,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200302,8.691,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200303,8.225,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200304,7.245,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200305,6.555,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200306,8.976,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200307,10.057,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200308,10.386,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200309,7.261,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200310,7.045,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200311,5.507,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200312,8.096,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200401,12.071,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200402,7.604,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200403,7.88,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200404,7.415,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200405,8.521,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200406,8.926,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200407,9.955,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200408,9.297,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200409,7.191,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200410,6.381,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200411,5.638,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200412,8.044,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200501,9.719,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
PAEIEUS,200502,6.018,6,Petroleum Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
