MSN,YYYYMM,Value,Column_Order,Description,Unit
RFEIEUS,200003,2.72,5,Residual Fuel Oil Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
RFEIEUS,200004,2.976,5,Residual Fuel Oil Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
RFEIEUS,200005,5.484,5,Residual Fuel Oil Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
RFEIEUS,200006,7.424,5,Residual Fuel Oil Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
RFEIEUS,200007,6.902,5,Residual Fuel Oil Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
RFEIEUS,200008,8.563,5,Residual Fuel Oil Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
RFEIEUS,200009,7.638,5,Residual Fuel Oil Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
RFEIEUS,200010,5.795,5,Residual Fuel Oil Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
RFEIEUS,200011,4.812,5,Residual Fuel Oil Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
RFEIEUS,200012,9.059,5,Residual Fuel Oil Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
RFEIEUS,200101,10.662,5,Residual Fuel Oil Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
RFEIEUS,200102,6.484,5,Residual Fuel Oil Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
RFEIEUS,200103,7.461,5,Residual Fuel Oil Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
RFEIEUS,200104,7.192,5,Residual Fuel Oil Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
RFEIEUS,200105,6.775,5,Residual Fuel Oil Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
